i,n,fsc,chl,ssc,pe,file
beads1,80799,33256,43809,45423,27658,1um_6um_beads_1_Leo.fcs
beads6,101455,48792,65535,64788,52836,1um_6um_beads_1_Leo.fcs
beads1,78874,33275,43790,45380,27647,1um_6um_beads_2_Leo.fcs
beads6,98956,48809,65535,64782,52804,1um_6um_beads_2_Leo.fcs
beads6,108200,48804,65535,64796,52855,1um_6um_beads_3_Leo.fcs
beads1,84706,33255,43781,45418,27662,1um_6um_beads_3_Leo.fcs
beads1,162608,33246,43935,45401,27607,1um_beads_1_Leo.fcs
beads1,170159,33212,43883,45409,27616,1um_beads_2_Leo.fcs
beads1,169199,33266,43887,45395,27630,1um_beads_3_Leo.fcs
beads1,161466,27414,18942,38020,20592,1um_beads_A_Leo.fcs
beads1,173504,27406,18975,38016,20592,1um_beads_B_Leo.fcs
beads1,175867,27362,18928,38036,20581,1um_beads_C_Leo.fcs
beads3,37816,37737,53341,56196,33829,3um_beads_A_Leo.fcs
beads3,42904,37710,53302,56163,33800,3um_beads_B_Leo.fcs
beads3,43422,37758,53318,56183,33838,3um_beads_C_Leo.fcs
beads6,178870,48787,65535,64786,52812,6um_beads_1_Leo.fcs
beads6,189266,48812,65535,64786,52822,6um_beads_2_Leo.fcs
beads6,188144,48804,65535,64797,52836,6um_beads_3_Leo.fcs
beads6,139442,43728,48383,58974,46427,6um_beads_A_Leo.fcs
beads6,138629,43729,48386,58980,46436,6um_beads_B_Leo.fcs
beads6,141912,43738,48377,58968,46435,6um_beads_C_Leo.fcs
beads6,40591,43585,48320,59017,46410,Bead_Mix_A_Leo.fcs
beads1,54164,27304,18777,38048,20563,Bead_Mix_A_Leo.fcs
beads3,12903,37601,53309,56152,33907,Bead_Mix_A_Leo.fcs
beads6,41397,43622,48344,59061,46442,Bead_Mix_B_Leo.fcs
beads1,58038,27320,18839,38061,20594,Bead_Mix_B_Leo.fcs
beads3,13629,37618,53321,56162,33945,Bead_Mix_B_Leo.fcs
beads1,58447,27312,18830,38065,20593,Bead_Mix_C_Leo.fcs
beads6,45182,43616,48337,59054,46434,Bead_Mix_C_Leo.fcs
beads3,13739,37611,53305,56161,33937,Bead_Mix_C_Leo.fcs
pro,101244,21387,14851,23162,120,ProSynThapsMix_A_Leo.fcs
syn,40244,28684,22921,28274,23226,ProSynThapsMix_A_Leo.fcs
beads1,1551,41750,19059,37866,38581,ProSynThapsMix_A_Leo.fcs
taps,956,56338,54533,47226,8314,ProSynThapsMix_A_Leo.fcs
pro,103252,21371,14844,23143,120,ProSynThapsMix_B_Leo.fcs
syn,41611,28631,22941,28269,23244,ProSynThapsMix_B_Leo.fcs
beads1,1598,41768,19002,37822,38572,ProSynThapsMix_B_Leo.fcs
taps,919,56321,54386,47590,7665,ProSynThapsMix_B_Leo.fcs
pro,104562,21337,14807,23103,120,ProSynThapsMix_C_Leo.fcs
syn,41491,28624,22952,28211,23244,ProSynThapsMix_C_Leo.fcs
beads1,1525,41756,18949,37758,38562,ProSynThapsMix_C_Leo.fcs
taps,953,56323,54344,47244,7600,ProSynThapsMix_C_Leo.fcs
